parentMANR;childMANR;childAnrede;childTitel;childVorname;childNachname;childTitelLang;BAEH_Referenzwert;BAEH_Messwert;RgbColorCode;childHeader
79252;40776;Herr;TM;Vorname_41;Nachname_41;Teammanager;158924;103990;150,54,52;Organisation von Teammanager Nachname_41
96991;80017;Herr;FB;Vorname_42;Nachname_42;Finanzberater;31630;38908;0,90,50;Organisation von Finanzberater Nachname_42
98980;89598;Herr;FB;Vorname_43;Nachname_43;Finanzberater;30914;42705;0,90,50;Organisation von Finanzberater Nachname_43
37146;36652;Herr;FB;Vorname_44;Nachname_44;Finanzberater;12768;764;150,54,52;Organisation von Finanzberater Nachname_44
73001;76591;Herr;FT;Vorname_45;Nachname_45;Finanzberater Trainee;14374;13025;150,54,52;Organisation von Finanzberater Trainee Nachname_45
43827;43441;Herr;FB;Vorname_46;Nachname_46;Finanzberater;34240;35683;0,90,50;Organisation von Finanzberater Nachname_46
77778;95120;Frau;TL;Vorname_47;Nachname_47;Teamleiter;147246;119005;150,54,52;Organisation von Teamleiter Nachname_47
60884;16462;Herr;TL;Vorname_48;Nachname_48;Teamleiter;78024;96152;0,90,50;Organisation von Teamleiter Nachname_48
89663;87841;Herr;FB;Vorname_49;Nachname_49;Finanzberater;17315;5886;150,54,52;Organisation von Finanzberater Nachname_49
89663;81469;Herr;TL;Vorname_50;Nachname_50;Teamleiter;190301;160904;150,54,52;Organisation von Teamleiter Nachname_50
51802;67028;Herr;FB;Vorname_51;Nachname_51;Finanzberater;51663;55290;0,90,50;Organisation von Finanzberater Nachname_51
44631;39338;Herr;TL;Vorname_52;Nachname_52;Teamleiter;212793;201712;150,54,52;Organisation von Teamleiter Nachname_52
17542;50830;Herr;TL;Vorname_53;Nachname_53;Teamleiter;97531;57873;150,54,52;Organisation von Teamleiter Nachname_53
40608;52103;Herr;FT;Vorname_54;Nachname_54;Finanzberater Trainee;2224;337;150,54,52;Organisation von Finanzberater Trainee Nachname_54
89663;79758;Frau;BA;Vorname_55;Nachname_55;Beraterassistent;3902;530;150,54,52;Organisation von Beraterassistent Nachname_55
79270;52380;Herr;FB;Vorname_56;Nachname_56;Finanzberater;48166;45170;150,54,52;Organisation von Finanzberater Nachname_56
74452;69137;Herr;TM;Vorname_57;Nachname_57;Teammanager;415186;216613;150,54,52;Organisation von Teammanager Nachname_57
68241;40506;Herr;FB;Vorname_58;Nachname_58;Finanzberater;22328;4857;150,54,52;Organisation von Finanzberater Nachname_58
36744;31859;Herr;FB;Vorname_59;Nachname_59;Finanzberater;88050;14728;150,54,52;Organisation von Finanzberater Nachname_59
89663;79756;Herr;BA;Vorname_60;Nachname_60;Beraterassistent;2401;1334;150,54,52;Organisation von Beraterassistent Nachname_60
80309;90415;Herr;TM;Vorname_61;Nachname_61;Teammanager;506659;357017;150,54,52;Organisation von Teammanager Nachname_61
96092;63812;Frau;FB;Vorname_62;Nachname_62;Finanzberater;7082;1935;150,54,52;Organisation von Finanzberater Nachname_62
21812;62745;Frau;FB;Vorname_63;Nachname_63;Finanzberater;65912;58800;150,54,52;Organisation von Finanzberater Nachname_63
72949;69638;Herr;FT;Vorname_64;Nachname_64;Finanzberater Trainee;1;1;0,90,50;Organisation von Finanzberater Trainee Nachname_64
80207;14453;Frau;FB;Vorname_65;Nachname_65;Finanzberater;8990;1352;150,54,52;Organisation von Finanzberater Nachname_65
46594;39217;Herr;FB;Vorname_66;Nachname_66;Finanzberater;51741;57741;0,90,50;Organisation von Finanzberater Nachname_66
43827;49543;Herr;TM;Vorname_67;Nachname_67;Teammanager;626293;581441;150,54,52;Organisation von Teammanager Nachname_67
90571;79686;Herr;FT;Vorname_68;Nachname_68;Finanzberater Trainee;5277;2019;150,54,52;Organisation von Finanzberater Trainee Nachname_68
49465;47679;Herr;FB;Vorname_69;Nachname_69;Finanzberater;34488;42651;0,90,50;Organisation von Finanzberater Nachname_69
56868;57548;Herr;FB;Vorname_70;Nachname_70;Finanzberater;27929;15430;150,54,52;Organisation von Finanzberater Nachname_70
95120;95174;Herr;FB;Vorname_71;Nachname_71;Finanzberater;10529;11421;0,90,50;Organisation von Finanzberater Nachname_71
62508;62952;Herr;TM;Vorname_72;Nachname_72;Teammanager;277676;214058;150,54,52;Organisation von Teammanager Nachname_72
36392;64289;Herr;TL;Vorname_73;Nachname_73;Teamleiter;69933;34810;150,54,52;Organisation von Teamleiter Nachname_73
86603;86642;Frau;FB;Vorname_74;Nachname_74;Finanzberater;12210;10083;150,54,52;Organisation von Finanzberater Nachname_74
92164;82771;Herr;FB;Vorname_75;Nachname_75;Finanzberater;48816;44797;150,54,52;Organisation von Finanzberater Nachname_75
72299;69098;Herr;FB;Vorname_76;Nachname_76;Finanzberater;74092;58892;150,54,52;Organisation von Finanzberater Nachname_76
43016;16822;Herr;FB;Vorname_77;Nachname_77;Finanzberater;163895;142190;150,54,52;Organisation von Finanzberater Nachname_77
96247;86365;Herr;TL;Vorname_78;Nachname_78;Teamleiter;91143;184163;0,90,50;Organisation von Teamleiter Nachname_78
21508;22014;Herr;FB;Vorname_79;Nachname_79;Finanzberater;84681;84965;0,90,50;Organisation von Finanzberater Nachname_79
50608;79684;Herr;FT;Vorname_80;Nachname_80;Finanzberater Trainee;25154;19972;150,54,52;Organisation von Finanzberater Trainee Nachname_80
40319;40459;Herr;FB;Vorname_81;Nachname_81;Finanzberater;43004;32297;150,54,52;Organisation von Finanzberater Nachname_81
79133;89349;Frau;FB;Vorname_82;Nachname_82;Finanzberater;16323;8562;150,54,52;Organisation von Finanzberater Nachname_82
72949;69059;Herr;FB;Vorname_83;Nachname_83;Finanzberater;44225;32164;150,54,52;Organisation von Finanzberater Nachname_83
83273;16562;Herr;FT;Vorname_84;Nachname_84;Finanzberater Trainee;5887;6032;0,90,50;Organisation von Finanzberater Trainee Nachname_84
43827;41553;Herr;FB;Vorname_85;Nachname_85;Finanzberater;58369;40386;150,54,52;Organisation von Finanzberater Nachname_85
66823;83265;Herr;FB;Vorname_86;Nachname_86;Finanzberater;5134;441;150,54,52;Organisation von Finanzberater Nachname_86
77010;54017;Herr;FB;Vorname_87;Nachname_87;Finanzberater;84429;55651;150,54,52;Organisation von Finanzberater Nachname_87
45044;47635;Frau;TL;Vorname_88;Nachname_88;Teamleiter;67099;48097;150,54,52;Organisation von Teamleiter Nachname_88
45414;45804;Herr;FB;Vorname_89;Nachname_89;Finanzberater;62537;37942;150,54,52;Organisation von Finanzberater Nachname_89
62922;63043;Herr;FT;Vorname_90;Nachname_90;Finanzberater Trainee;2054;630;150,54,52;Organisation von Finanzberater Trainee Nachname_90
63377;90139;Frau;FB;Vorname_91;Nachname_91;Finanzberater;47868;38143;150,54,52;Organisation von Finanzberater Nachname_91
96247;96285;Herr;TL;Vorname_92;Nachname_92;Teamleiter;70333;50890;150,54,52;Organisation von Teamleiter Nachname_92
62317;62694;Herr;FB;Vorname_93;Nachname_93;Finanzberater;66221;46134;150,54,52;Organisation von Finanzberater Nachname_93
61637;44587;Herr;TL;Vorname_94;Nachname_94;Teamleiter;78128;52126;150,54,52;Organisation von Teamleiter Nachname_94
16092;16084;Herr;FB;Vorname_95;Nachname_95;Finanzberater;32803;25088;150,54,52;Organisation von Finanzberater Nachname_95
94582;14559;Frau;FT;Vorname_96;Nachname_96;Finanzberater Trainee;16493;9644;150,54,52;Organisation von Finanzberater Trainee Nachname_96
84681;15762;Herr;TL;Vorname_97;Nachname_97;Teamleiter;88631;73236;150,54,52;Organisation von Teamleiter Nachname_97
79252;51449;Herr;TL;Vorname_98;Nachname_98;Teamleiter;114967;74229;150,54,52;Organisation von Teamleiter Nachname_98
17364;52054;Herr;FB;Vorname_99;Nachname_99;Finanzberater;4946;1721;150,54,52;Organisation von Finanzberater Nachname_99
37116;36713;Herr;TL;Vorname_100;Nachname_100;Teamleiter;46381;40956;150,54,52;Organisation von Teamleiter Nachname_100
72949;68241;Herr;TM;Vorname_101;Nachname_101;Teammanager;559237;477343;150,54,52;Organisation von Teammanager Nachname_101
86797;86745;Herr;FB;Vorname_102;Nachname_102;Finanzberater;31106;5590;150,54,52;Organisation von Finanzberater Nachname_102
95529;51957;Frau;TL;Vorname_103;Nachname_103;Teamleiter;62022;48490;150,54,52;Organisation von Teamleiter Nachname_103
13315;14446;Herr;TL;Vorname_104;Nachname_104;Teamleiter;268193;195611;150,54,52;Organisation von Teamleiter Nachname_104
46424;39464;Herr;FB;Vorname_105;Nachname_105;Finanzberater;29319;15745;150,54,52;Organisation von Finanzberater Nachname_105
80210;88455;Herr;MG;Vorname_106;Nachname_106;Manager;1110465;982724;150,54,52;Organisation von Manager Nachname_106
17364;52562;Herr;FT;Vorname_107;Nachname_107;Finanzberater Trainee;21832;20235;150,54,52;Organisation von Finanzberater Trainee Nachname_107
62232;63115;Herr;TL;Vorname_108;Nachname_108;Teamleiter;54337;85556;0,90,50;Organisation von Teamleiter Nachname_108
50518;52426;Herr;FT;Vorname_109;Nachname_109;Finanzberater Trainee;31263;15196;150,54,52;Organisation von Finanzberater Trainee Nachname_109
44631;47725;Herr;FB;Vorname_110;Nachname_110;Finanzberater;37329;22668;150,54,52;Organisation von Finanzberater Nachname_110
86603;86738;Herr;FB;Vorname_111;Nachname_111;Finanzberater;94076;79648;150,54,52;Organisation von Finanzberater Nachname_111
62508;21508;Herr;TL;Vorname_112;Nachname_112;Teamleiter;172541;152241;150,54,52;Organisation von Teamleiter Nachname_112
41230;83388;Herr;FB;Vorname_113;Nachname_113;Finanzberater;39765;25955;150,54,52;Organisation von Finanzberater Nachname_113
68241;73938;Herr;FB;Vorname_114;Nachname_114;Finanzberater;77760;64585;150,54,52;Organisation von Finanzberater Nachname_114
14422;91944;Herr;FB;Vorname_115;Nachname_115;Finanzberater;214610;179414;150,54,52;Organisation von Finanzberater Nachname_115
80309;49566;Herr;BAVM;Vorname_116;Nachname_116;Manager bAV;149969;85800;150,54,52;Organisation von Manager bAV Nachname_116
42121;18006;Herr;TM;Vorname_117;Nachname_117;Teammanager;118360;86373;150,54,52;Organisation von Teammanager Nachname_117
49049;42005;Frau;FB;Vorname_118;Nachname_118;Finanzberater;10021;15026;0,90,50;Organisation von Finanzberater Nachname_118
95120;93361;Herr;FB;Vorname_119;Nachname_119;Finanzberater;11662;13090;0,90,50;Organisation von Finanzberater Nachname_119
92164;79991;Herr;TL;Vorname_120;Nachname_120;Teamleiter;101218;80990;150,54,52;Organisation von Teamleiter Nachname_120
20347;21812;Herr;TL;Vorname_121;Nachname_121;Teamleiter;145001;157984;0,90,50;Organisation von Teamleiter Nachname_121
11204;13118;Herr;FB;Vorname_122;Nachname_122;Finanzberater;7523;6241;150,54,52;Organisation von Finanzberater Nachname_122
94263;14975;Frau;BA;Vorname_123;Nachname_123;Beraterassistent;4262;4558;0,90,50;Organisation von Beraterassistent Nachname_123
51867;22422;Herr;BAA;Vorname_124;Nachname_124;Beraterassistent in Ausbildung;4535;1677;150,54,52;Organisation von Beraterassistent in Ausbildung Nachname_124
43827;65356;Herr;TL;Vorname_125;Nachname_125;Teamleiter;84813;68301;150,54,52;Organisation von Teamleiter Nachname_125
45845;36973;Herr;TL;Vorname_126;Nachname_126;Teamleiter;24902;21302;150,54,52;Organisation von Teamleiter Nachname_126
63422;50882;Herr;FB;Vorname_127;Nachname_127;Finanzberater;52682;39174;150,54,52;Organisation von Finanzberater Nachname_127
56558;50138;Herr;FB;Vorname_128;Nachname_128;Finanzberater;54609;59507;0,90,50;Organisation von Finanzberater Nachname_128
74000;69169;Herr;FB;Vorname_129;Nachname_129;Finanzberater;58978;44222;150,54,52;Organisation von Finanzberater Nachname_129
37116;30332;Herr;TL;Vorname_130;Nachname_130;Teamleiter;213179;189390;150,54,52;Organisation von Teamleiter Nachname_130
43827;94041;Frau;TL;Vorname_131;Nachname_131;Teamleiter;37911;40487;0,90,50;Organisation von Teamleiter Nachname_131
46569;39491;Herr;FB;Vorname_132;Nachname_132;Finanzberater;81320;68476;150,54,52;Organisation von Finanzberater Nachname_132
90415;79012;Herr;TL;Vorname_133;Nachname_133;Teamleiter;141963;111956;150,54,52;Organisation von Teamleiter Nachname_133
50439;50642;Frau;FB;Vorname_134;Nachname_134;Finanzberater;29209;13780;150,54,52;Organisation von Finanzberater Nachname_134
62508;21536;Herr;TL;Vorname_135;Nachname_135;Teamleiter;228634;212326;150,54,52;Organisation von Teamleiter Nachname_135
37101;31871;Frau;BAA;Vorname_136;Nachname_136;Beraterassistent in Ausbildung;52;11;150,54,52;Organisation von Beraterassistent in Ausbildung Nachname_136
14066;22992;Herr;FB;Vorname_137;Nachname_137;Finanzberater;26606;23013;150,54,52;Organisation von Finanzberater Nachname_137
36584;31863;Herr;FT;Vorname_138;Nachname_138;Finanzberater Trainee;19608;23175;0,90,50;Organisation von Finanzberater Trainee Nachname_138
83831;79095;Herr;FB;Vorname_139;Nachname_139;Finanzberater;32283;33112;0,90,50;Organisation von Finanzberater Nachname_139
60084;56995;Frau;FB;Vorname_140;Nachname_140;Finanzberater;2193;611;150,54,52;Organisation von Finanzberater Nachname_140
74165;75002;Frau;FB;Vorname_141;Nachname_141;Finanzberater;31126;16602;150,54,52;Organisation von Finanzberater Nachname_141
99037;14889;Herr;FB;Vorname_142;Nachname_142;Finanzberater;17445;10605;150,54,52;Organisation von Finanzberater Nachname_142
75961;76651;Herr;FT;Vorname_143;Nachname_143;Finanzberater Trainee;15060;10721;150,54,52;Organisation von Finanzberater Trainee Nachname_143
77010;56445;Herr;TM;Vorname_144;Nachname_144;Teammanager;285547;184736;150,54,52;Organisation von Teammanager Nachname_144
35151;1081;Herr;TM;Vorname_145;Nachname_145;Teammanager;922748;680142;150,54,52;Organisation von Teammanager Nachname_145
49543;18898;Herr;TL;Vorname_146;Nachname_146;Teamleiter;78676;68929;150,54,52;Organisation von Teamleiter Nachname_146
80326;89425;Herr;FB;Vorname_147;Nachname_147;Finanzberater;2181;2126;150,54,52;Organisation von Finanzberater Nachname_147
70211;56988;Herr;FB;Vorname_148;Nachname_148;Finanzberater;56452;35319;150,54,52;Organisation von Finanzberater Nachname_148
90571;51314;Herr;FB;Vorname_149;Nachname_149;Finanzberater;20141;19126;150,54,52;Organisation von Finanzberater Nachname_149
83954;85302;Herr;FB;Vorname_150;Nachname_150;Finanzberater;18614;5215;150,54,52;Organisation von Finanzberater Nachname_150
50677;52579;Herr;FT;Vorname_151;Nachname_151;Finanzberater Trainee;24059;19589;150,54,52;Organisation von Finanzberater Trainee Nachname_151
41944;42840;Herr;BA;Vorname_152;Nachname_152;Beraterassistent;8748;2620;150,54,52;Organisation von Beraterassistent Nachname_152
40319;40972;Herr;FB;Vorname_153;Nachname_153;Finanzberater;2637;2953;0,90,50;Organisation von Finanzberater Nachname_153
21580;20676;Herr;FB;Vorname_154;Nachname_154;Finanzberater;112812;57501;150,54,52;Organisation von Finanzberater Nachname_154
14066;14045;Herr;FB;Vorname_155;Nachname_155;Finanzberater;2727;699;150,54,52;Organisation von Finanzberater Nachname_155
42058;19828;Herr;FB;Vorname_156;Nachname_156;Finanzberater;18018;11862;150,54,52;Organisation von Finanzberater Nachname_156
35151;35603;Herr;TL;Vorname_157;Nachname_157;Teamleiter;61248;45698;150,54,52;Organisation von Teamleiter Nachname_157
98980;47099;Frau;FB;Vorname_158;Nachname_158;Finanzberater;44038;34854;150,54,52;Organisation von Finanzberater Nachname_158
15940;15281;Frau;FT;Vorname_159;Nachname_159;Finanzberater Trainee;1360;6;150,54,52;Organisation von Finanzberater Trainee Nachname_159
15105;15940;Herr;TL;Vorname_160;Nachname_160;Teamleiter;223729;184809;150,54,52;Organisation von Teamleiter Nachname_160
14349;16542;Herr;FT;Vorname_161;Nachname_161;Finanzberater Trainee;2122;3956;0,90,50;Organisation von Finanzberater Trainee Nachname_161
62508;51812;Herr;FT;Vorname_162;Nachname_162;Finanzberater Trainee;4477;2416;150,54,52;Organisation von Finanzberater Trainee Nachname_162
74360;71934;Herr;TM;Vorname_163;Nachname_163;Teammanager;439902;313277;150,54,52;Organisation von Teammanager Nachname_163
98253;51954;Herr;FB;Vorname_164;Nachname_164;Finanzberater;65619;35740;150,54,52;Organisation von Finanzberater Nachname_164
90571;96476;Frau;FB;Vorname_165;Nachname_165;Finanzberater;29809;31905;0,90,50;Organisation von Finanzberater Nachname_165
77778;57611;Herr;FB;Vorname_166;Nachname_166;Finanzberater;7917;4599;150,54,52;Organisation von Finanzberater Nachname_166
51449;52603;Herr;BA;Vorname_167;Nachname_167;Beraterassistent;1287;133;150,54,52;Organisation von Beraterassistent Nachname_167
35151;70173;Herr;TM;Vorname_168;Nachname_168;Teammanager;691407;522919;150,54,52;Organisation von Teammanager Nachname_168
35675;37637;Herr;FB;Vorname_169;Nachname_169;Finanzberater;47836;23250;150,54,52;Organisation von Finanzberater Nachname_169
62707;21723;Herr;FB;Vorname_170;Nachname_170;Finanzberater;96760;94810;150,54,52;Organisation von Finanzberater Nachname_170
70173;30246;Herr;TL;Vorname_171;Nachname_171;Teamleiter;79152;58585;150,54,52;Organisation von Teamleiter Nachname_171
65268;78346;Frau;FT;Vorname_172;Nachname_172;Finanzberater Trainee;507;1647;0,90,50;Organisation von Finanzberater Trainee Nachname_172
1081;36772;Frau;TL;Vorname_173;Nachname_173;Teamleiter;168723;144421;150,54,52;Organisation von Teamleiter Nachname_173
13315;14645;Herr;TL;Vorname_174;Nachname_174;Teamleiter;58405;57837;150,54,52;Organisation von Teamleiter Nachname_174
79287;40787;Herr;FB;Vorname_175;Nachname_175;Finanzberater;42346;40667;150,54,52;Organisation von Finanzberater Nachname_175
77778;55171;Herr;FB;Vorname_176;Nachname_176;Finanzberater;45880;42651;150,54,52;Organisation von Finanzberater Nachname_176
43827;83272;Frau;FB;Vorname_177;Nachname_177;Finanzberater;10612;420;150,54,52;Organisation von Finanzberater Nachname_177
13315;67438;Herr;TL;Vorname_178;Nachname_178;Teamleiter;35352;23532;150,54,52;Organisation von Teamleiter Nachname_178
45040;45937;Herr;TM;Vorname_179;Nachname_179;Teammanager;816396;577644;150,54,52;Organisation von Teammanager Nachname_179
90415;86949;Herr;FB;Vorname_180;Nachname_180;Finanzberater;49800;19743;150,54,52;Organisation von Finanzberater Nachname_180
81622;78446;Herr;FT;Vorname_181;Nachname_181;Finanzberater Trainee;383;780;0,90,50;Organisation von Finanzberater Trainee Nachname_181
22142;22189;Frau;FB;Vorname_182;Nachname_182;Finanzberater;47075;34634;150,54,52;Organisation von Finanzberater Nachname_182
43016;51156;Herr;TL;Vorname_183;Nachname_183;Teamleiter;213690;169727;150,54,52;Organisation von Teamleiter Nachname_183
94756;14895;Frau;FT;Vorname_184;Nachname_184;Finanzberater Trainee;38232;17683;150,54,52;Organisation von Finanzberater Trainee Nachname_184
40319;49343;Herr;FB;Vorname_185;Nachname_185;Finanzberater;29592;47717;0,90,50;Organisation von Finanzberater Nachname_185
37422;30362;Frau;FB;Vorname_186;Nachname_186;Finanzberater;23667;20835;150,54,52;Organisation von Finanzberater Nachname_186
39338;38121;Herr;FB;Vorname_187;Nachname_187;Finanzberater;50755;60630;0,90,50;Organisation von Finanzberater Nachname_187
45044;38138;Frau;FB;Vorname_188;Nachname_188;Finanzberater;9513;18231;0,90,50;Organisation von Finanzberater Nachname_188
74461;97899;Herr;FB;Vorname_189;Nachname_189;Finanzberater;25084;13297;150,54,52;Organisation von Finanzberater Nachname_189
46341;46424;Herr;TL;Vorname_190;Nachname_190;Teamleiter;98293;82774;150,54,52;Organisation von Teamleiter Nachname_190
43023;59058;Herr;FB;Vorname_191;Nachname_191;Finanzberater;522;208;150,54,52;Organisation von Finanzberater Nachname_191
66893;94756;Herr;TL;Vorname_192;Nachname_192;Teamleiter;349081;224306;150,54,52;Organisation von Teamleiter Nachname_192
58397;58398;Herr;TL;Vorname_193;Nachname_193;Teamleiter;96598;60808;150,54,52;Organisation von Teamleiter Nachname_193
37617;35883;Herr;FB;Vorname_194;Nachname_194;Finanzberater;49280;58993;0,90,50;Organisation von Finanzberater Nachname_194
21580;20814;Frau;TM;Vorname_195;Nachname_195;Teammanager;536696;432664;150,54,52;Organisation von Teammanager Nachname_195
13254;78430;Herr;FT;Vorname_196;Nachname_196;Finanzberater Trainee;30305;25113;150,54,52;Organisation von Finanzberater Trainee Nachname_196
96247;90234;Herr;FB;Vorname_197;Nachname_197;Finanzberater;46479;60234;0,90,50;Organisation von Finanzberater Nachname_197
74165;75509;Herr;FB;Vorname_198;Nachname_198;Finanzberater;33318;13714;150,54,52;Organisation von Finanzberater Nachname_198
46569;39227;Herr;FB;Vorname_199;Nachname_199;Finanzberater;50069;43618;150,54,52;Organisation von Finanzberater Nachname_199
80207;79064;Herr;FB;Vorname_200;Nachname_200;Finanzberater;23441;22298;150,54,52;Organisation von Finanzberater Nachname_200
43827;82802;Frau;FB;Vorname_201;Nachname_201;Finanzberater;9242;2487;150,54,52;Organisation von Finanzberater Nachname_201
53650;55266;Herr;TL;Vorname_202;Nachname_202;Teamleiter;53711;50049;150,54,52;Organisation von Teamleiter Nachname_202
88378;93718;Herr;FB;Vorname_203;Nachname_203;Finanzberater;86368;92267;0,90,50;Organisation von Finanzberater Nachname_203
11045;11278;Frau;FT;Vorname_204;Nachname_204;Finanzberater Trainee;2;0;150,54,52;Organisation von Finanzberater Trainee Nachname_204
95349;57584;Herr;FT;Vorname_205;Nachname_205;Finanzberater Trainee;24447;17695;150,54,52;Organisation von Finanzberater Trainee Nachname_205
62046;14647;Herr;FB;Vorname_206;Nachname_206;Finanzberater;35726;22420;150,54,52;Organisation von Finanzberater Nachname_206
37116;36645;Herr;FB;Vorname_207;Nachname_207;Finanzberater;19106;10319;150,54,52;Organisation von Finanzberater Nachname_207
80668;81132;Herr;TL;Vorname_208;Nachname_208;Teamleiter;221468;175962;150,54,52;Organisation von Teamleiter Nachname_208
49543;18922;Frau;FINM;Vorname_209;Nachname_209;Finanzierungsmanager;85979;91992;0,90,50;Organisation von Finanzierungsmanager Nachname_209
81668;81712;Herr;TM;Vorname_210;Nachname_210;Teammanager;474211;309279;150,54,52;Organisation von Teammanager Nachname_210
81622;11624;Herr;TL;Vorname_211;Nachname_211;Teamleiter;45992;62109;0,90,50;Organisation von Teamleiter Nachname_211
81712;57546;Herr;FB;Vorname_212;Nachname_212;Finanzberater;28329;20273;150,54,52;Organisation von Finanzberater Nachname_212
